,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,class,A1
2910,12,10,113,17040,21383,457274558,17040,21383,457274558,13,11,123,1874,1542,2379776,0,3
2911,22,36,1353,20832,23923,572353393,19515,23756,564377761,11,9,90,1921,1780,3168540,0,3
2912,17,55,3122,20408,21590,466132656,20939,22178,491869366,12,9,90,1745,1463,2140387,0,3
2913,15,29,883,22284,24638,607064858,22284,24638,607064858,12,8,74,1823,1444,2087452,0,3
2914,32,45,2113,18499,21997,483880935,18498,21997,483903967,9,8,77,1868,2479,6145923,0,3
2915,18,28,809,22332,23235,539900365,22332,23235,539900365,12,8,72,2098,1882,3544311,0,3
2916,6,7,57,16014,20683,427805604,16014,20683,427805604,9,9,81,1349,1408,1982735,0,3
2917,17,18,335,20094,23510,552736707,20094,23510,552733512,13,9,97,1990,1729,2992755,0,3
2918,10,8,65,20118,23021,529990857,20414,23219,539128459,15,9,87,2310,1568,2461028,0,3
2919,10,6,43,18099,20210,408482333,16732,19725,389112182,14,7,62,2128,1288,1660275,0,3
2920,30,46,2206,20509,22775,518721866,20509,22775,518721866,11,9,81,1853,1679,2819719,0,3
2921,13,25,659,18347,21206,449707463,18344,21207,449762365,12,9,90,2033,1856,3446021,0,3
2922,17,31,989,13969,18322,335731148,13969,18322,335727684,10,8,65,1942,1773,3145756,0,3
2923,12,26,711,17646,21191,449077104,17646,21191,449077104,10,7,62,1784,1753,3073740,0,3
2924,11,16,267,19901,23669,560223173,19045,23474,551062121,11,9,87,1862,1598,2555915,0,3
2925,22,38,1471,18063,21106,445470010,18063,21106,445470010,11,9,96,1948,1870,3497368,0,3
2926,24,37,1381,21043,22125,489558724,21043,22125,489558724,10,8,73,1912,1905,3632400,0,3
2927,6,7,50,18447,21925,480729735,18447,21925,480729735,10,9,91,1668,1568,2461513,0,3
2928,21,33,1130,15809,20760,430987801,15805,20762,431077169,13,8,74,2310,1703,2903595,0,3
2929,12,9,84,18889,21985,483341111,18889,21985,483341111,13,8,67,2163,1596,2549562,0,3
2930,14,32,1079,14610,17707,313553746,14610,17707,313553746,8,8,64,1149,1317,1735086,0,3
2931,6,5,34,17007,21122,446165328,17007,21122,446165328,11,6,38,1705,1095,1200789,0,3
2932,25,41,1692,19072,21667,469462297,19072,21667,469462297,13,8,72,2294,1821,3317842,0,3
2933,20,35,1272,17520,22362,500094488,17520,22362,500094488,9,8,70,1800,2337,5463408,0,3
2934,16,29,867,16650,21742,472743055,16651,21742,472724030,14,8,74,2400,1653,2734487,0,3
2935,18,32,1046,18047,22071,487154755,18047,22071,487154755,10,9,81,1771,2009,4039032,0,3
2936,12,12,167,15306,20817,433360831,15306,20817,433360831,12,8,73,1944,1862,3469179,0,3
2937,22,48,2361,17130,20760,431016402,17130,20760,431016402,13,8,79,2046,1673,2800905,0,3
2938,17,28,790,18908,22903,524559502,18908,22903,524559502,15,7,55,2536,1520,2311910,0,3
2939,36,52,2783,19359,24091,580389325,19358,24091,580391229,14,8,69,2455,1890,3573605,0,3
2940,20,41,1724,20895,23838,568267071,20895,23838,568267071,6,6,45,933,1180,1393657,0,3
2941,14,25,641,23201,24417,596224531,23201,24417,596224531,11,8,72,1865,1648,2718465,0,3
2942,54,170,28972,15091,19503,380395343,15090,19504,380420718,12,7,63,1708,1255,1576868,0,3
2943,6,7,56,17594,21703,471046297,15839,19863,394571362,10,10,101,1547,1508,2275134,0,3
2944,9,7,50,18848,22283,496570730,18848,22283,496570730,13,8,75,2042,1340,1796018,0,3
2945,16,25,653,22149,24458,598225021,22149,24458,598225021,13,7,63,2079,1324,1755277,0,3
2946,6,6,40,20457,23730,563116989,20457,23730,563122390,11,8,71,1672,1337,1789823,0,3
2947,25,40,1606,16953,20886,436238948,16953,20886,436238948,11,9,87,1652,1828,3341734,0,3
2948,8,6,40,23528,24597,605021483,23528,24597,605021483,15,8,75,2511,1622,2632159,0,3
2949,5,5,26,18787,21069,443913629,18787,21069,443913629,9,7,56,1343,1319,1740477,0,3
2950,7,6,42,18473,19142,366438842,18473,19142,366438842,12,8,72,1892,1429,2043097,0,3
2951,3,3,12,20255,23226,539448019,18073,23400,547568246,7,6,41,1118,1107,1225878,0,3
2952,26,44,1970,19102,21357,456146480,19102,21357,456146480,12,9,86,1648,1398,1955423,0,3
2953,21,38,1453,16530,23832,568006449,16530,23832,568006449,8,7,53,2089,2513,6316372,0,3
2954,11,10,114,17892,22658,513390860,16126,22464,504649893,12,10,109,1745,1607,2584906,0,3
2955,9,5,27,17402,20432,417474467,17402,20432,417474467,15,6,40,2376,1144,1309177,0,3
2956,9,9,87,19321,22880,523511213,19321,22880,523500174,12,9,87,1787,1515,2297211,0,3
2957,17,30,954,19600,21334,455140034,19600,21334,455140034,12,10,108,1972,1999,3996993,0,3
2958,9,14,217,19547,22641,512622901,19547,22641,512622901,10,8,66,1483,1324,1754273,0,3
2959,12,8,78,16208,21301,453742375,16208,21301,453742375,15,9,83,2168,1372,1883417,0,3
2960,5,8,73,19625,23699,561673102,16874,22246,494927895,8,10,115,1180,1584,2510858,0,2
2961,18,30,937,21147,21903,479783790,21147,21903,479783790,12,9,87,1897,1576,2486732,0,3
2962,21,35,1245,16878,21151,447376302,15373,20102,404123817,14,9,84,2141,1719,2956507,0,3
2963,8,7,57,16346,22599,510740353,16346,22599,510718563,14,10,115,1969,1473,2172049,0,3
